Feature,Importance
cat__diag_3_794,0.0002496681980163402
cat__diag_2_722,0.00024887616690692766
cat__diag_2_V58,0.0002487923028426587
cat__diag_3_459,0.000247815860468462
cat__diag_2_286,0.000246358125325898
cat__diag_2_340,0.00024580775639166004
cat__diag_1_188,0.0002457215529907097
cat__diag_3_E888,0.0002453832709952758
cat__diag_1_784,0.0002446427494165292
cat__diag_2_E885,0.0002433387494890989
cat__diag_1_282,0.00024265242708762595
cat__pioglitazone_Down,0.00024094826861163272
cat__diag_1_189,0.00024076953673869456
cat__diag_3_558,0.00024041002820558157
cat__repaglinide_Up,0.0002403485133351798
cat__diag_2_153,0.00023813398852318986
cat__diag_2_435,0.00023759050696298638
cat__diag_3_731,0.0002368750390106695
cat__diag_1_585,0.0002360954911935031
cat__diag_3_553,0.00023597855344301434
cat__diag_1_274,0.00023554040341302302
cat__diag_2_444,0.00023401249067411895
cat__diag_2_203,0.00023223945371654607
cat__diag_1_512,0.000230668490002024
cat__diag_2_721,0.0002288126104651412
cat__diag_3_250.5,0.0002288011072194901
cat__diag_1_288,0.0002275237416016033
cat__diag_3_E885,0.00022679849054000435
cat__diag_2_242,0.00022649846209787627
cat__diag_1_174,0.00022626329819874438
cat__diag_1_386,0.0002261779076252791
cat__diag_1_413,0.0002258718897955273
cat__diag_3_728,0.00022585447361929357
cat__diag_2_715,0.00022464659478765213
cat__diag_1_490,0.0002244247691037194
cat__diag_1_298,0.00022414994495394404
cat__diag_1_459,0.00022221343101711221
cat__age_[0-10),0.00022088650063658628
cat__diag_2_728,0.0002203881277577684
cat__diag_1_79,0.0002203865990470139
cat__diag_2_V15,0.00021744414667165148
cat__diag_1_447,0.00021334812554832193
cat__diag_2_42,0.00021139501013048103
cat__diag_2_250.12,0.00021060987172721244
cat__diag_2_204,0.00021014311582457515
cat__diag_2_300,0.00021004760929608596
cat__diag_1_487,0.00020956144643292902
cat__diag_1_432,0.00020695288101078355
cat__diag_1_284,0.0002066554343885053
cat__diag_1_53,0.00020649446538839649
